learning_rounds,automaton_size_h_minus,automaton_size_h_plus,automaton_size_h_star,cache_size,s_size,e_size,quiescence_reduced,total_time,learning_time,checking_time,queries_learning,steps_learning,listens_leaning,query_certainty_probability,queries_completeness,steps_completeness,listens_completeness,completeness_certainty_probability,debug,run
8,31,34,33,446,71,42,True,76.63,64.15,12.48,1129,4095,5087,0.99,1742,6442,7243,0.99,,1
8,31,34,33,446,71,42,True,79.16,66.59,12.57,1148,4161,5211,0.99,1738,6434,7172,0.99,,2
8,31,34,33,446,71,42,True,78.81,66.19,12.62,1138,4119,5170,0.99,1827,6693,7598,0.99,,3
8,31,34,33,446,71,42,True,80.17,67.62,12.55,1157,4188,5226,0.99,1710,6318,7052,0.99,,4
8,31,34,33,446,71,42,True,79.06,66.13,12.93,1074,3926,4770,0.99,1791,6573,7490,0.99,,5
8,31,34,33,446,71,42,True,80.03,67.61,12.42,1147,4162,5169,0.99,1772,6534,7416,0.99,,6
8,31,34,33,446,71,42,True,77.79,65.22,12.57,1093,3976,4914,0.99,1784,6570,7387,0.99,,7
8,31,34,33,446,71,42,True,83.0,70.14,12.86,1107,4032,4962,0.99,1697,6285,6960,0.99,,8
8,31,34,33,446,71,42,True,78.3,65.89,12.41,1106,4020,5033,0.99,1787,6582,7406,0.99,,9
8,31,34,33,446,71,42,True,82.61,70.07,12.54,1162,4195,5244,0.99,1758,6474,7272,0.99,,10
8,31,34,33,446,71,42,True,82.1,69.46,12.64,1148,4151,5141,0.99,1733,6403,7060,0.99,,11
8,31,34,33,446,71,42,True,80.76,68.0,12.76,1098,4002,4947,0.99,1766,6522,7300,0.99,,12
8,31,34,33,446,71,42,True,82.06,69.33,12.73,1116,4048,4968,0.99,1810,6647,7592,0.99,,13
8,31,34,33,446,71,42,True,81.25,68.63,12.62,1104,4030,4946,0.99,1740,6440,7198,0.99,,14
8,31,34,33,446,71,42,True,78.96,66.69,12.27,1156,4173,5206,0.99,1781,6560,7364,0.99,,15
8,31,34,33,446,71,42,True,75.98,63.74,12.24,1077,3926,4857,0.99,1741,6443,7156,0.99,,16
8,31,34,33,446,71,42,True,72.79,61.18,11.61,1115,4055,5080,0.99,1720,6358,7073,0.99,,17
8,31,34,33,446,71,42,True,72.78,61.11,11.67,1144,4136,5106,0.99,1707,6318,7055,0.99,,18
8,31,34,33,446,71,42,True,72.87,61.17,11.7,1172,4251,5301,0.99,1737,6411,7132,0.99,,19
