learning_rounds,automaton_size_h_minus,automaton_size_h_plus,automaton_size_h_star,cache_size,s_size,e_size,quiescence_reduced,total_time,learning_time,checking_time,queries_learning,steps_learning,listens_learning,query_certainty_probability,queries_completeness,steps_completeness,listens_completeness,completeness_certainty_probability,debug,run
10,40,40,40,89138,40,94,False,101.5,55.46,46.04,8101,27449,42450,0.99999,220,13049,19952,0.99999,,1 / 10
10,30,30,30,14188,34,31,True,26.05,10.65,15.4,2778,8665,13551,0.99999,164,9883,16542,0.99999,,2 / 10
8,20,20,19,8266,29,23,True,13.34,3.51,9.83,1936,5990,9373,0.99999,136,8012,13514,0.99999,,3 / 10
10,30,36,30,18222,43,35,True,34.09,15.11,18.98,3489,10872,17687,0.99999,207,10722,18310,0.99999,,4 / 10
9,27,35,27,13693,35,47,False,23.96,9.43,14.53,3216,9845,15728,0.99999,201,9144,15288,0.99999,,5 / 10
11,36,36,36,26402,45,41,False,38.51,17.94,20.57,5078,17504,30500,0.99999,235,13671,23527,0.99999,,6 / 10
10,30,30,30,14193,34,31,False,27.23,11.44,15.79,2735,8514,13383,0.99999,165,10328,17292,0.99999,,7 / 10
10,30,38,30,19577,44,42,False,49.48,31.24,18.24,3860,12070,18859,0.99999,270,14346,24838,0.99999,,8 / 10
10,37,37,37,18546,37,48,False,29.36,12.56,16.8,3616,10883,17697,0.99999,178,8471,13711,0.99999,,9 / 10
9,29,36,29,25878,45,39,False,26.01,12.0,14.01,4523,15320,27068,0.99999,225,14727,25551,0.99999,,10 / 10
