learning_rounds,automaton_size_h_minus,automaton_size_h_plus,automaton_size_h_star,cache_size,s_size,e_size,quiescence_reduced,total_time,learning_time,checking_time,queries_learning,steps_learning,listens_leaning,query_certainty_probability,queries_completeness,steps_completeness,listens_completeness,completeness_certainty_probability,debug,run
8,30,33,32,437,70,42,True,73.01,60.73,12.28,925,3414,4143,0.9,852,3154,3466,0.9,,1
8,32,35,34,437,71,43,True,82.46,68.0,14.46,887,3241,3821,0.9,775,2858,3080,0.9,,2
8,30,33,32,437,70,42,True,82.36,69.47,12.89,948,3482,4247,0.9,822,3054,3346,0.9,,3
8,31,34,33,446,71,42,True,77.41,64.83,12.58,979,3600,4329,0.9,877,3255,3613,0.9,,4
8,31,34,33,446,71,42,True,75.98,63.84,12.14,1003,3663,4429,0.9,873,3207,3615,0.9,,7
8,30,33,32,437,70,42,True,73.38,61.37,12.01,904,3333,3952,0.9,872,3224,3572,0.9,,8
8,31,34,33,446,71,42,True,77.4,64.77,12.63,1088,3931,4928,0.9,864,3187,3518,0.9,,9
8,31,34,33,446,71,42,True,76.44,63.8,12.64,979,3584,4311,0.9,804,3005,3255,0.9,,10
7,27,31,30,384,62,32,False,48.15,38.41,9.74,787,2774,3390,0.9,737,2577,3005,0.9,,12
8,31,34,33,446,71,42,True,83.81,71.08,12.73,914,3373,4004,0.9,928,3388,3888,0.9,,13
8,31,34,33,446,71,42,True,82.67,69.64,13.03,955,3512,4244,0.9,819,3048,3350,0.9,,15
8,31,34,33,446,71,42,True,83.6,70.45,13.15,949,3485,4150,0.9,797,2966,3236,0.9,,16
8,31,34,33,446,71,42,True,77.13,65.1,12.03,1036,3759,4611,0.9,859,3181,3538,0.9,,18
8,32,35,34,437,71,43,True,80.28,67.53,12.75,914,3321,3961,0.9,766,2844,3068,0.9,,19
